Question ID,Question Title,Difficulty Level,Similar Questions Text,Solution Link,url,Question Text,Python Solution Path,Solution Exists
13,Roman to Integer,Easy,"[Integer to Roman, /problems/integer-to-roman/, Medium]",https://leetcode.com/articles/roman-to-integer,https://leetcode.com/problems/roman-to-integer,"Roman numerals are represented by seven different symbols: I, V, X, L, C, D and M. For example, 2 is written as II in Roman numeral, just two one's added together. 12 is written as XII, which is simply X + II. The number 27 is written as XXVII, which is XX + V + II. Roman numerals are usually written largest to smallest from left to right. However, the numeral for four is not IIII. Instead, the number four is written as IV. Because the one is before the five we subtract it making four. The same principle applies to the number nine, which is written as IX. There are six instances where subtraction is used: Given a roman numeral, convert it to an integer. ",./PythonSolutions/roman-to-integer.py,True
15,3Sum,Medium,"[Two Sum, /problems/two-sum/, Easy], [3Sum Closest, /problems/3sum-closest/, Medium], [4Sum, /problems/4sum/, Medium], [3Sum Smaller, /problems/3sum-smaller/, Medium]",https://leetcode.com/articles/3sum,https://leetcode.com/problems/3sum,"Given an integer array nums, return all the triplets [nums[i], nums[j], nums[k]] such that i != j, i != k, and j != k, and nums[i] + nums[j] + nums[k] == 0. Notice that the solution set must not contain duplicate triplets. ",./PythonSolutions/3sum.py,True
16,3Sum Closest,Medium,"[3Sum, /problems/3sum/, Medium], [3Sum Smaller, /problems/3sum-smaller/, Medium]",https://leetcode.com/articles/3sum-closest,https://leetcode.com/problems/3sum-closest,"Given an integer array nums of length n and an integer target, find three integers in nums such that the sum is closest to target. Return the sum of the three integers. You may assume that each input would have exactly one solution. ",./PythonSolutions/3sum-closest.py,True
17,Letter Combinations of a Phone Number,Medium,"[Generate Parentheses, /problems/generate-parentheses/, Medium], [Combination Sum, /problems/combination-sum/, Medium], [Binary Watch, /problems/binary-watch/, Easy]",https://leetcode.com/articles/letter-combinations-of-a-phone-number,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Given a string containing digits from 2-9 inclusive, return all possible letter combinations that the number could represent. Return the answer in any order. A mapping of digit to letters (just like on the telephone buttons) is given below. Note that 1 does not map to any letters.  ",./PythonSolutions/letter-combinations-of-a-phone-number.py,True
18,4Sum,Medium,"[Two Sum, /problems/two-sum/, Easy], [3Sum, /problems/3sum/, Medium], [4Sum II, /problems/4sum-ii/, Medium]",https://leetcode.com/articles/4sum,https://leetcode.com/problems/4sum,"Given an array nums of n integers, return an array of all the unique quadruplets [nums[a], nums[b], nums[c], nums[d]] such that: You may return the answer in any order. ",./PythonSolutions/4sum.py,True
19,Remove Nth Node From End of List,Medium,"[Swapping Nodes in a Linked List, /problems/swapping-nodes-in-a-linked-list/, Medium], [Delete N Nodes After M Nodes of a Linked List, /problems/delete-n-nodes-after-m-nodes-of-a-linked-list/, Easy]",https://leetcode.com/articles/remove-nth-node-from-end-of-list,https://leetcode.com/problems/remove-nth-node-from-end-of-list,"Given the head of a linked list, remove the nth node from the end of the list and return its head. ",./PythonSolutions/remove-nth-node-from-end-of-list.py,True
20,Valid Parentheses,Easy,"[Generate Parentheses, /problems/generate-parentheses/, Medium], [Longest Valid Parentheses, /problems/longest-valid-parentheses/, Hard], [Remove Invalid Parentheses, /problems/remove-invalid-parentheses/, Hard], [Check If Word Is Valid After Substitutions, /problems/check-if-word-is-valid-after-substitutions/, Medium]",https://leetcode.com/articles/valid-parentheses,https://leetcode.com/problems/valid-parentheses,"Given a string s containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid. An input string is valid if: ",./PythonSolutions/valid-parentheses.py,True
21,Merge Two Sorted Lists,Easy,"[Merge k Sorted Lists, /problems/merge-k-sorted-lists/, Hard], [Merge Sorted Array, /problems/merge-sorted-array/, Easy], [Sort List, /problems/sort-list/, Medium], [Shortest Word Distance II, /problems/shortest-word-distance-ii/, Medium], [Add Two Polynomials Represented as Linked Lists, /problems/add-two-polynomials-represented-as-linked-lists/, Medium]",https://leetcode.com/articles/merge-two-sorted-lists,https://leetcode.com/problems/merge-two-sorted-lists,You are given the heads of two sorted linked lists list1 and list2. Merge the two lists in a one sorted list. The list should be made by splicing together the nodes of the first two lists. Return the head of the merged linked list. ,./PythonSolutions/merge-two-sorted-lists.py,True
22,Generate Parentheses,Medium,"[Letter Combinations of a Phone Number, /problems/letter-combinations-of-a-phone-number/, Medium], [Valid Parentheses, /problems/valid-parentheses/, Easy]",https://leetcode.com/articles/generate-parentheses,https://leetcode.com/problems/generate-parentheses,"Given n pairs of parentheses, write a function to generate all combinations of well-formed parentheses. ",./PythonSolutions/generate-parentheses.py,True
23,Merge k Sorted Lists,Hard,"[Merge Two Sorted Lists, /problems/merge-two-sorted-lists/, Easy], [Ugly Number II, /problems/ugly-number-ii/, Medium]",https://leetcode.com/articles/merge-k-sorted-list,https://leetcode.com/problems/merge-k-sorted-lists,"You are given an array of k linked-lists lists, each linked-list is sorted in ascending order. Merge all the linked-lists into one sorted linked-list and return it. ",./PythonSolutions/merge-k-sorted-lists.py,True
24,Swap Nodes in Pairs,Medium,"[Reverse Nodes in k-Group, /problems/reverse-nodes-in-k-group/, Hard], [Swapping Nodes in a Linked List, /problems/swapping-nodes-in-a-linked-list/, Medium]",https://leetcode.com/articles/swap-nodes-in-pairs,https://leetcode.com/problems/swap-nodes-in-pairs,"Given a linked list, swap every two adjacent nodes and return its head. You must solve the problem without modifying the values in the list's nodes (i.e., only nodes themselves may be changed.) ",./PythonSolutions/swap-nodes-in-pairs.py,True
25,Reverse Nodes in k-Group,Hard,"[Swap Nodes in Pairs, /problems/swap-nodes-in-pairs/, Medium], [Swapping Nodes in a Linked List, /problems/swapping-nodes-in-a-linked-list/, Medium]",https://leetcode.com/articles/reverse-nodes-in-k-group,https://leetcode.com/problems/reverse-nodes-in-k-group,"Given the head of a linked list, reverse the nodes of the list k at a time, and return the modified list. k is a positive integer and is less than or equal to the length of the linked list. If the number of nodes is not a multiple of k then left-out nodes, in the end, should remain as it is. You may not alter the values in the list's nodes, only nodes themselves may be changed. ",./PythonSolutions/reverse-nodes-in-k-group.py,True
26,Remove Duplicates from Sorted Array,Easy,"[Remove Element, /problems/remove-element/, Easy], [Remove Duplicates from Sorted Array II, /problems/remove-duplicates-from-sorted-array-ii/, Medium]",https://leetcode.com/articles/remove-duplicates-from-sorted-array,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Given an integer array nums sorted in non-decreasing order, remove the duplicates in-place such that each unique element appears only once. The relative order of the elements should be kept the same. Since it is impossible to change the length of the array in some languages, you must instead have the result be placed in the first part of the array nums. More formally, if there are k elements after removing the duplicates, then the first k elements of nums should hold the final result. It does not matter what you leave beyond the first k elements. Return k after placing the final result in the first k slots of nums. Do not allocate extra space for another array. You must do this by modifying the input array in-place with O(1) extra memory. Custom Judge: The judge will test your solution with the following code: If all assertions pass, then your solution will be accepted. ",./PythonSolutions/remove-duplicates-from-sorted-array.py,True
27,Remove Element,Easy,"[Remove Duplicates from Sorted Array, /problems/remove-duplicates-from-sorted-array/, Easy], [Remove Linked List Elements, /problems/remove-linked-list-elements/, Easy], [Move Zeroes, /problems/move-zeroes/, Easy]",https://leetcode.com/articles/remove-element,https://leetcode.com/problems/remove-element,"Given an integer array nums and an integer val, remove all occurrences of val in nums in-place. The relative order of the elements may be changed. Since it is impossible to change the length of the array in some languages, you must instead have the result be placed in the first part of the array nums. More formally, if there are k elements after removing the duplicates, then the first k elements of nums should hold the final result. It does not matter what you leave beyond the first k elements. Return k after placing the final result in the first k slots of nums. Do not allocate extra space for another array. You must do this by modifying the input array in-place with O(1) extra memory. Custom Judge: The judge will test your solution with the following code: If all assertions pass, then your solution will be accepted. ",./PythonSolutions/remove-element.py,True
28,Implement strStr(),Easy,"[Shortest Palindrome, /problems/shortest-palindrome/, Hard], [Repeated Substring Pattern, /problems/repeated-substring-pattern/, Easy]",https://leetcode.com/articles/implement-strstr,https://leetcode.com/problems/implement-strstr,"Implement strStr(). Given two strings needle and haystack, return the index of the first occurrence of needle in haystack, or -1 if needle is not part of haystack. Clarification: What should we return when needle is an empty string? This is a great question to ask during an interview. For the purpose of this problem, we will return 0 when needle is an empty string. This is consistent to C's strstr() and Java's indexOf(). ",./PythonSolutions/implement-strstr.py,True
31,Next Permutation,Medium,"[Permutations, /problems/permutations/, Medium], [Permutations II, /problems/permutations-ii/, Medium], [Permutation Sequence, /problems/permutation-sequence/, Hard], [Palindrome Permutation II, /problems/palindrome-permutation-ii/, Medium]",https://leetcode.com/articles/next-permutation,https://leetcode.com/problems/next-permutation,"A permutation of an array of integers is an arrangement of its members into a sequence or linear order. The next permutation of an array of integers is the next lexicographically greater permutation of its integer. More formally, if all the permutations of the array are sorted in one container according to their lexicographical order, then the next permutation of that array is the permutation that follows it in the sorted container. If such arrangement is not possible, the array must be rearranged as the lowest possible order (i.e., sorted in ascending order). Given an array of integers nums, find the next permutation of nums. The replacement must be in place and use only constant extra memory. ",./PythonSolutions/next-permutation.py,True
32,Longest Valid Parentheses,Hard,"[Valid Parentheses, /problems/valid-parentheses/, Easy]",https://leetcode.com/articles/longest-valid-parentheses,https://leetcode.com/problems/longest-valid-parentheses,"Given a string containing just the characters '(' and ')', find the length of the longest valid (well-formed) parentheses substring. ",./PythonSolutions/longest-valid-parentheses.py,True
33,Search in Rotated Sorted Array,Medium,"[Search in Rotated Sorted Array II, /problems/search-in-rotated-sorted-array-ii/, Medium], [Find Minimum in Rotated Sorted Array, /problems/find-minimum-in-rotated-sorted-array/, Medium]",https://leetcode.com/articles/search-in-rotated-sorted-array,https://leetcode.com/problems/search-in-rotated-sorted-array,"There is an integer array nums sorted in ascending order (with distinct values). Prior to being passed to your function, nums is possibly rotated at an unknown pivot index k (1 <= k < nums.length) such that the resulting array is [nums[k], nums[k+1], ..., nums[n-1], nums[0], nums[1], ..., nums[k-1]] (0-indexed). For example, [0,1,2,4,5,6,7] might be rotated at pivot index 3 and become [4,5,6,7,0,1,2]. Given the array nums after the possible rotation and an integer target, return the index of target if it is in nums, or -1 if it is not in nums. You must write an algorithm with O(log n) runtime complexity. ",./PythonSolutions/search-in-rotated-sorted-array.py,True
35,Search Insert Position,Easy,"[First Bad Version, /problems/first-bad-version/, Easy]",https://leetcode.com/articles/search-insert-position,https://leetcode.com/problems/search-insert-position,"Given a sorted array of distinct integers and a target value, return the index if the target is found. If not, return the index where it would be if it were inserted in order. You must write an algorithm with O(log n) runtime complexity. ",./PythonSolutions/search-insert-position.py,True
36,Valid Sudoku,Medium,"[Sudoku Solver, /problems/sudoku-solver/, Hard]",https://leetcode.com/articles/valid-sudoku,https://leetcode.com/problems/valid-sudoku,Determine if a 9 x 9 Sudoku board is valid. Only the filled cells need to be validated according to the following rules: Note: ,./PythonSolutions/valid-sudoku.py,True
37,Sudoku Solver,Hard,"[Valid Sudoku, /problems/valid-sudoku/, Medium], [Unique Paths III, /problems/unique-paths-iii/, Hard]",https://leetcode.com/articles/sudoku-solver,https://leetcode.com/problems/sudoku-solver,Write a program to solve a Sudoku puzzle by filling the empty cells. A sudoku solution must satisfy all of the following rules: The '.' character indicates empty cells. ,./PythonSolutions/sudoku-solver.py,True
38,Count and Say,Medium,"[Encode and Decode Strings, /problems/encode-and-decode-strings/, Medium], [String Compression, /problems/string-compression/, Medium]",https://leetcode.com/articles/count-and-say,https://leetcode.com/problems/count-and-say,"The count-and-say sequence is a sequence of digit strings defined by the recursive formula: To determine how you ""say"" a digit string, split it into the minimal number of groups so that each group is a contiguous section all of the same character. Then for each group, say the number of characters, then say the character. To convert the saying into a digit string, replace the counts with a number and concatenate every saying. For example, the saying and conversion for digit string ""3322251"": Given a positive integer n, return the nth term of the count-and-say sequence. ",./PythonSolutions/count-and-say.py,True
39,Combination Sum,Medium,"[Letter Combinations of a Phone Number, /problems/letter-combinations-of-a-phone-number/, Medium], [Combination Sum II, /problems/combination-sum-ii/, Medium], [Combinations, /problems/combinations/, Medium], [Combination Sum III, /problems/combination-sum-iii/, Medium], [Factor Combinations, /problems/factor-combinations/, Medium], [Combination Sum IV, /problems/combination-sum-iv/, Medium]",https://leetcode.com/articles/combination-sum,https://leetcode.com/problems/combination-sum,"Given an array of distinct integers candidates and a target integer target, return a list of all unique combinations of candidates where the chosen numbers sum to target. You may return the combinations in any order. The same number may be chosen from candidates an unlimited number of times. Two combinations are unique if the frequency of at least one of the chosen numbers is different. It is guaranteed that the number of unique combinations that sum up to target is less than 150 combinations for the given input. ",./PythonSolutions/combination-sum.py,True
40,Combination Sum II,Medium,"[Combination Sum, /problems/combination-sum/, Medium]",https://leetcode.com/articles/combination-sum-ii,https://leetcode.com/problems/combination-sum-ii,"Given a collection of candidate numbers (candidates) and a target number (target), find all unique combinations in candidates where the candidate numbers sum to target. Each number in candidates may only be used once in the combination. Note: The solution set must not contain duplicate combinations. ",./PythonSolutions/combination-sum-ii.py,True
41,First Missing Positive,Hard,"[Missing Number, /problems/missing-number/, Easy], [Find the Duplicate Number, /problems/find-the-duplicate-number/, Medium], [Find All Numbers Disappeared in an Array, /problems/find-all-numbers-disappeared-in-an-array/, Easy], [Couples Holding Hands, /problems/couples-holding-hands/, Hard]",https://leetcode.com/articles/first-missing-positive,https://leetcode.com/problems/first-missing-positive,"Given an unsorted integer array nums, return the smallest missing positive integer. You must implement an algorithm that runs in O(n) time and uses constant extra space. ",./PythonSolutions/first-missing-positive.py,True
42,Trapping Rain Water,Hard,"[Container With Most Water, /problems/container-with-most-water/, Medium], [Product of Array Except Self, /problems/product-of-array-except-self/, Medium], [Trapping Rain Water II, /problems/trapping-rain-water-ii/, Hard], [Pour Water, /problems/pour-water/, Medium]",https://leetcode.com/articles/trapping-rain-water,https://leetcode.com/problems/trapping-rain-water,"Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining. ",./PythonSolutions/trapping-rain-water.py,True
44,Wildcard Matching,Hard,"[Regular Expression Matching, /problems/regular-expression-matching/, Hard]",https://leetcode.com/articles/wildcard-matching,https://leetcode.com/problems/wildcard-matching,"Given an input string (s) and a pattern (p), implement wildcard pattern matching with support for '?' and '*' where: The matching should cover the entire input string (not partial). ",./PythonSolutions/wildcard-matching.py,True
45,Jump Game II,Medium,"[Jump Game, /problems/jump-game/, Medium], [Jump Game III, /problems/jump-game-iii/, Medium]",https://leetcode.com/articles/jump-game-ii,https://leetcode.com/problems/jump-game-ii,"Given an array of non-negative integers nums, you are initially positioned at the first index of the array. Each element in the array represents your maximum jump length at that position. Your goal is to reach the last index in the minimum number of jumps. You can assume that you can always reach the last index. ",./PythonSolutions/jump-game-ii.py,True
46,Permutations,Medium,"[Next Permutation, /problems/next-permutation/, Medium], [Permutations II, /problems/permutations-ii/, Medium], [Permutation Sequence, /problems/permutation-sequence/, Hard], [Combinations, /problems/combinations/, Medium]",https://leetcode.com/articles/permutations,https://leetcode.com/problems/permutations,"Given an array nums of distinct integers, return all the possible permutations. You can return the answer in any order. ",./PythonSolutions/permutations.py,True
47,Permutations II,Medium,"[Next Permutation, /problems/next-permutation/, Medium], [Permutations, /problems/permutations/, Medium], [Palindrome Permutation II, /problems/palindrome-permutation-ii/, Medium], [Number of Squareful Arrays, /problems/number-of-squareful-arrays/, Hard]",https://leetcode.com/articles/permutations-ii,https://leetcode.com/problems/permutations-ii,"Given a collection of numbers, nums, that might contain duplicates, return all possible unique permutations in any order. ",./PythonSolutions/permutations-ii.py,True
50,"Pow(x, n)",Medium,"[Sqrt(x), /problems/sqrtx/, Easy], [Super Pow, /problems/super-pow/, Medium]",https://leetcode.com/articles/powx-n,https://leetcode.com/problems/powx-n,"Implement pow(x, n), which calculates x raised to the power n (i.e., xn). ",./PythonSolutions/powx-n.py,True
51,N-Queens,Hard,"[N-Queens II, /problems/n-queens-ii/, Hard], [Grid Illumination, /problems/grid-illumination/, Hard]",https://leetcode.com/articles/n-queens,https://leetcode.com/problems/n-queens,"The n-queens puzzle is the problem of placing n queens on an n x n chessboard such that no two queens attack each other. Given an integer n, return all distinct solutions to the n-queens puzzle. You may return the answer in any order. Each solution contains a distinct board configuration of the n-queens' placement, where 'Q' and '.' both indicate a queen and an empty space, respectively. ",./PythonSolutions/n-queens.py,True
52,N-Queens II,Hard,"[N-Queens, /problems/n-queens/, Hard]",https://leetcode.com/articles/n-queens-ii,https://leetcode.com/problems/n-queens-ii,"The n-queens puzzle is the problem of placing n queens on an n x n chessboard such that no two queens attack each other. Given an integer n, return the number of distinct solutions to the n-queens puzzle. ",./PythonSolutions/n-queens-ii.py,True
53,Maximum Subarray,Easy,"[Best Time to Buy and Sell Stock, /problems/best-time-to-buy-and-sell-stock/, Easy], [Maximum Product Subarray, /problems/maximum-product-subarray/, Medium], [Degree of an Array, /problems/degree-of-an-array/, Easy], [Longest Turbulent Subarray, /problems/longest-turbulent-subarray/, Medium], [Maximum Absolute Sum of Any Subarray, /problems/maximum-absolute-sum-of-any-subarray/, Medium], [Maximum Subarray Sum After One Operation, /problems/maximum-subarray-sum-after-one-operation/, Medium]",https://leetcode.com/articles/maximum-subarray,https://leetcode.com/problems/maximum-subarray,"Given an integer array nums, find the contiguous subarray (containing at least one number) which has the largest sum and return its sum. A subarray is a contiguous part of an array. ",./PythonSolutions/maximum-subarray.py,True
54,Spiral Matrix,Medium,"[Spiral Matrix II, /problems/spiral-matrix-ii/, Medium], [Spiral Matrix III, /problems/spiral-matrix-iii/, Medium]",https://leetcode.com/articles/spiral-matrix,https://leetcode.com/problems/spiral-matrix,"Given an m x n matrix, return all elements of the matrix in spiral order. ",./PythonSolutions/spiral-matrix.py,True
55,Jump Game,Medium,"[Jump Game II, /problems/jump-game-ii/, Medium], [Jump Game III, /problems/jump-game-iii/, Medium]",https://leetcode.com/articles/jump-game,https://leetcode.com/problems/jump-game,"You are given an integer array nums. You are initially positioned at the array's first index, and each element in the array represents your maximum jump length at that position. Return true if you can reach the last index, or false otherwise. ",./PythonSolutions/jump-game.py,True
56,Merge Intervals,Medium,"[Insert Interval, /problems/insert-interval/, Medium], [Meeting Rooms, /problems/meeting-rooms/, Easy], [Meeting Rooms II, /problems/meeting-rooms-ii/, Medium], [Teemo Attacking, /problems/teemo-attacking/, Medium], [Add Bold Tag in String, /problems/add-bold-tag-in-string/, Medium], [Range Module, /problems/range-module/, Hard], [Employee Free Time, /problems/employee-free-time/, Hard], [Partition Labels, /problems/partition-labels/, Medium], [Interval List Intersections, /problems/interval-list-intersections/, Medium]",https://leetcode.com/articles/merge-intervals,https://leetcode.com/problems/merge-intervals,"Given an array of intervals where intervals[i] = [starti, endi], merge all overlapping intervals, and return an array of the non-overlapping intervals that cover all the intervals in the input. ",./PythonSolutions/merge-intervals.py,True
57,Insert Interval,Medium,"[Merge Intervals, /problems/merge-intervals/, Medium], [Range Module, /problems/range-module/, Hard]",https://leetcode.com/articles/insert-interval,https://leetcode.com/problems/insert-interval,"You are given an array of non-overlapping intervals intervals where intervals[i] = [starti, endi] represent the start and the end of the ith interval and intervals is sorted in ascending order by starti. You are also given an interval newInterval = [start, end] that represents the start and end of another interval. Insert newInterval into intervals such that intervals is still sorted in ascending order by starti and intervals still does not have any overlapping intervals (merge overlapping intervals if necessary). Return intervals after the insertion. ",./PythonSolutions/insert-interval.py,True
59,Spiral Matrix II,Medium,"[Spiral Matrix, /problems/spiral-matrix/, Medium], [Spiral Matrix III, /problems/spiral-matrix-iii/, Medium]",https://leetcode.com/articles/spiral-matrix-ii,https://leetcode.com/problems/spiral-matrix-ii,"Given a positive integer n, generate an n x n matrix filled with elements from 1 to n2 in spiral order. ",./PythonSolutions/spiral-matrix-ii.py,True
60,Permutation Sequence,Hard,"[Next Permutation, /problems/next-permutation/, Medium], [Permutations, /problems/permutations/, Medium]",https://leetcode.com/articles/permutation-sequence,https://leetcode.com/problems/permutation-sequence,"The set [1, 2, 3, ..., n] contains a total of n! unique permutations. By listing and labeling all of the permutations in order, we get the following sequence for n = 3: Given n and k, return the kth permutation sequence. ",./PythonSolutions/permutation-sequence.py,True
61,Rotate List,Medium,"[Rotate Array, /problems/rotate-array/, Medium], [Split Linked List in Parts, /problems/split-linked-list-in-parts/, Medium]",https://leetcode.com/articles/rotate-list,https://leetcode.com/problems/rotate-list,"Given the head of a linked list, rotate the list to the right by k places. ",./PythonSolutions/rotate-list.py,True
62,Unique Paths,Medium,"[Unique Paths II, /problems/unique-paths-ii/, Medium], [Minimum Path Sum, /problems/minimum-path-sum/, Medium], [Dungeon Game, /problems/dungeon-game/, Hard]",https://leetcode.com/articles/unique-paths,https://leetcode.com/problems/unique-paths,"There is a robot on an m x n grid. The robot is initially located at the top-left corner (i.e., grid[0][0]). The robot tries to move to the bottom-right corner (i.e., grid[m - 1][n - 1]). The robot can only move either down or right at any point in time. Given the two integers m and n, return the number of possible unique paths that the robot can take to reach the bottom-right corner. The test cases are generated so that the answer will be less than or equal to 2 * 109. ",./PythonSolutions/unique-paths.py,True
63,Unique Paths II,Medium,"[Unique Paths, /problems/unique-paths/, Medium], [Unique Paths III, /problems/unique-paths-iii/, Hard]",https://leetcode.com/articles/unique-paths-ii,https://leetcode.com/problems/unique-paths-ii,"You are given an m x n integer array grid. There is a robot initially located at the top-left corner (i.e., grid[0][0]). The robot tries to move to the bottom-right corner (i.e., grid[m-1][n-1]). The robot can only move either down or right at any point in time. An obstacle and space are marked as 1 or 0 respectively in grid. A path that the robot takes cannot include any square that is an obstacle. Return the number of possible unique paths that the robot can take to reach the bottom-right corner. The testcases are generated so that the answer will be less than or equal to 2 * 109. ",./PythonSolutions/unique-paths-ii.py,True
64,Minimum Path Sum,Medium,"[Unique Paths, /problems/unique-paths/, Medium], [Dungeon Game, /problems/dungeon-game/, Hard], [Cherry Pickup, /problems/cherry-pickup/, Hard]",https://leetcode.com/articles/minimum-path-sum,https://leetcode.com/problems/minimum-path-sum,"Given a m x n grid filled with non-negative numbers, find a path from top left to bottom right, which minimizes the sum of all numbers along its path. Note: You can only move either down or right at any point in time. ",./PythonSolutions/minimum-path-sum.py,True
