, #    , Problem                                                                                                                                                         , Solution                                                                               
16, 16   , [3Sum Closest](https://leetcode.com/problems/3sum-closest)                                                                                                      , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/16.py)   
17, 17   , [Letter Combinations of a Phone Number](https://leetcode.com/problems/letter-combinations-of-a-phone-number)                                                    , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/17.py)   
18, 18   , [4Sum](https://leetcode.com/problems/4sum)                                                                                                                      , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/18.py)   
19, 19   , [Remove Nth Node From End of List](https://leetcode.com/problems/remove-nth-node-from-end-of-list)                                                              , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/19.py)   
20, 20   , [Valid Parentheses](https://leetcode.com/problems/valid-parentheses)                                                                                            , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/20.py)   
21, 21   , [Merge Two Sorted Lists](https://leetcode.com/problems/merge-two-sorted-lists)                                                                                  , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/21.py)   
22, 22   , [Generate Parentheses](https://leetcode.com/problems/generate-parentheses)                                                                                      , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/22.py)   
23, 23   , [Merge k Sorted Lists](https://leetcode.com/problems/merge-k-sorted-lists)                                                                                      , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/23.py)   
24, 24   , [Swap Nodes in Pairs](https://leetcode.com/problems/swap-nodes-in-pairs)                                                                                        , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/24.py)   
25, 25   , [Reverse Nodes in k-Group](https://leetcode.com/problems/reverse-nodes-in-k-group)                                                                              , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/25.py)   
26, 26   , [Remove Duplicates from Sorted Array](https://leetcode.com/problems/remove-duplicates-from-sorted-array)                                                        , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/26.py)   
27, 27   , [Remove Element](https://leetcode.com/problems/remove-element)                                                                                                  , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/27.py)   
28, 28   , [Implement strStr()](https://leetcode.com/problems/implement-strstr)                                                                                            , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/28.py)   
29, 29   , [Divide Two Integers](https://leetcode.com/problems/divide-two-integers)                                                                                        , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/29.py)   
30, 30   , [Substring with Concatenation of All Words](https://leetcode.com/problems/substring-with-concatenation-of-all-words)                                            , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/30.py)   
31, 31   , [Next Permutation](https://leetcode.com/problems/next-permutation)                                                                                              , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/31.py)   
32, 32   , [Longest Valid Parentheses](https://leetcode.com/problems/longest-valid-parentheses)                                                                            , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/32.py)   
33, 33   , [Search in Rotated Sorted Array](https://leetcode.com/problems/search-in-rotated-sorted-array)                                                                  , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/33.py)   
34, 34   , [Find First and Last Position of Element in Sorted Array](https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array)                , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/34.py)   
35, 35   , [Search Insert Position](https://leetcode.com/problems/search-insert-position)                                                                                  , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/35.py)   
36, 36   , [Valid Sudoku](https://leetcode.com/problems/valid-sudoku)                                                                                                      , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/36.py)   
37, 37   , [Sudoku Solver](https://leetcode.com/problems/sudoku-solver)                                                                                                    , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/37.py)   
38, 38   , [Count and Say](https://leetcode.com/problems/count-and-say)                                                                                                    , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/38.py)   
39, 39   , [Combination Sum](https://leetcode.com/problems/combination-sum)                                                                                                , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/39.py)   
40, 40   , [Combination Sum II](https://leetcode.com/problems/combination-sum-ii)                                                                                          , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/40.py)   
41, 41   , [First Missing Positive](https://leetcode.com/problems/first-missing-positive)                                                                                  , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/41.py)   
42, 42   , [Trapping Rain Water](https://leetcode.com/problems/trapping-rain-water)                                                                                        , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/42.py)   
43, 43   , [Multiply Strings](https://leetcode.com/problems/multiply-strings)                                                                                              , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/43.py)   
44, 44   , [Wildcard Matching](https://leetcode.com/problems/wildcard-matching)                                                                                            , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/44.py)   
45, 45   , [Jump Game II](https://leetcode.com/problems/jump-game-ii)                                                                                                      , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/45.py)   
46, 46   , [Permutations](https://leetcode.com/problems/permutations)                                                                                                      , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/46.py)   
47, 47   , [Permutations II](https://leetcode.com/problems/permutations-ii)                                                                                                , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/47.py)   
48, 48   , [Rotate Image](https://leetcode.com/problems/rotate-image)                                                                                                      , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/48.py)   
49, 49   , [Group Anagrams](https://leetcode.com/problems/group-anagrams)                                                                                                  , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/49.py)   
50, 50   ," [Pow(x, n)](https://leetcode.com/problems/powx-n)                                                                                                               ", [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/50.py)   
51, 51   , [N-Queens](https://leetcode.com/problems/n-queens)                                                                                                              , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/51.py)   
52, 52   , [N-Queens II](https://leetcode.com/problems/n-queens-ii)                                                                                                        , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/52.py)   
53, 53   , [Maximum Subarray](https://leetcode.com/problems/maximum-subarray)                                                                                              , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/53.py)   
54, 54   , [Spiral Matrix](https://leetcode.com/problems/spiral-matrix)                                                                                                    , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/54.py)   
55, 55   , [Jump Game](https://leetcode.com/problems/jump-game)                                                                                                            , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/55.py)   
56, 56   , [Merge Intervals](https://leetcode.com/problems/merge-intervals)                                                                                                , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/56.py)   
57, 57   , [Insert Interval](https://leetcode.com/problems/insert-interval)                                                                                                , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/57.py)   
58, 58   , [Length of Last Word](https://leetcode.com/problems/length-of-last-word)                                                                                        , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/58.py)   
59, 59   , [Spiral Matrix II](https://leetcode.com/problems/spiral-matrix-ii)                                                                                              , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/59.py)   
60, 60   , [Permutation Sequence](https://leetcode.com/problems/permutation-sequence)                                                                                      , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/60.py)   
61, 61   , [Rotate List](https://leetcode.com/problems/rotate-list)                                                                                                        , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/61.py)   
62, 62   , [Unique Paths](https://leetcode.com/problems/unique-paths)                                                                                                      , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/62.py)   
63, 63   , [Unique Paths II](https://leetcode.com/problems/unique-paths-ii)                                                                                                , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/63.py)   
64, 64   , [Minimum Path Sum](https://leetcode.com/problems/minimum-path-sum)                                                                                              , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/64.py)   
65, 65   , [Valid Number](https://leetcode.com/problems/valid-number)                                                                                                      , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/65.py)   
66, 66   , [Plus One](https://leetcode.com/problems/plus-one)                                                                                                              , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/66.py)   
67, 67   , [Add Binary](https://leetcode.com/problems/add-binary)                                                                                                          , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/67.py)   
68, 68   , [Text Justification](https://leetcode.com/problems/text-justification)                                                                                          , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/68.py)   
69, 69   , [Sqrt(x)](https://leetcode.com/problems/sqrtx)                                                                                                                  , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/69.py)   
70, 70   , [Climbing Stairs](https://leetcode.com/problems/climbing-stairs)                                                                                                , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/70.py)   
71, 71   , [Simplify Path](https://leetcode.com/problems/simplify-path)                                                                                                    , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/71.py)   
72, 72   , [Edit Distance](https://leetcode.com/problems/edit-distance)                                                                                                    , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/72.py)   
73, 73   , [Set Matrix Zeroes](https://leetcode.com/problems/set-matrix-zeroes)                                                                                            , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/73.py)   
74, 74   , [Search a 2D Matrix](https://leetcode.com/problems/search-a-2d-matrix)                                                                                          , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/74.py)   
75, 75   , [Sort Colors](https://leetcode.com/problems/sort-colors)                                                                                                        , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/75.py)   
76, 76   , [Minimum Window Substring](https://leetcode.com/problems/minimum-window-substring)                                                                              , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/76.py)   
77, 77   , [Combinations](https://leetcode.com/problems/combinations)                                                                                                      , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/77.py)   
78, 78   , [Subsets](https://leetcode.com/problems/subsets)                                                                                                                , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/78.py)   
79, 79   , [Word Search](https://leetcode.com/problems/word-search)                                                                                                        , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/79.py)   
80, 80   , [Remove Duplicates from Sorted Array II](https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii)                                                  , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/80.py)   
81, 81   , [Search in Rotated Sorted Array II](https://leetcode.com/problems/search-in-rotated-sorted-array-ii)                                                            , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/81.py)   
82, 82   , [Remove Duplicates from Sorted List II](https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii)                                                    , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/82.py)   
83, 83   , [Remove Duplicates from Sorted List](https://leetcode.com/problems/remove-duplicates-from-sorted-list)                                                          , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/83.py)   
84, 84   , [Largest Rectangle in Histogram](https://leetcode.com/problems/largest-rectangle-in-histogram)                                                                  , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/84.py)   
85, 85   , [Maximal Rectangle](https://leetcode.com/problems/maximal-rectangle)                                                                                            , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/85.py)   
86, 86   , [Partition List](https://leetcode.com/problems/partition-list)                                                                                                  , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/86.py)   
87, 87   , [Scramble String](https://leetcode.com/problems/scramble-string)                                                                                                , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/87.py)   
88, 88   , [Merge Sorted Array](https://leetcode.com/problems/merge-sorted-array)                                                                                          , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/88.py)   
89, 89   , [Gray Code](https://leetcode.com/problems/gray-code)                                                                                                            , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/89.py)   
90, 90   , [Subsets II](https://leetcode.com/problems/subsets-ii)                                                                                                          , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/90.py)   
91, 91   , [Decode Ways](https://leetcode.com/problems/decode-ways)                                                                                                        , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/91.py)   
92, 92   , [Reverse Linked List II](https://leetcode.com/problems/reverse-linked-list-ii)                                                                                  , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/92.py)   
93, 93   , [Restore IP Addresses](https://leetcode.com/problems/restore-ip-addresses)                                                                                      , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/93.py)   
94, 94   , [Binary Tree Inorder Traversal](https://leetcode.com/problems/binary-tree-inorder-traversal)                                                                    , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/94.py)   
95, 95   , [Unique Binary Search Trees II](https://leetcode.com/problems/unique-binary-search-trees-ii)                                                                    , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/95.py)   
96, 96   , [Unique Binary Search Trees](https://leetcode.com/problems/unique-binary-search-trees)                                                                          , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/96.py)   
97, 97   , [Interleaving String](https://leetcode.com/problems/interleaving-string)                                                                                        , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/97.py)   
98, 98   , [Validate Binary Search Tree](https://leetcode.com/problems/validate-binary-search-tree)                                                                        , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/98.py)   
99, 99   , [Recover Binary Search Tree](https://leetcode.com/problems/recover-binary-search-tree)                                                                          , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/99.py)   
100, 100  , [Same Tree](https://leetcode.com/problems/same-tree)                                                                                                            , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/100.py)  
101, 101  , [Symmetric Tree](https://leetcode.com/problems/symmetric-tree)                                                                                                  , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/101.py)  
102, 102  , [Binary Tree Level Order Traversal](https://leetcode.com/problems/binary-tree-level-order-traversal)                                                            , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/102.py)  
103, 103  , [Binary Tree Zigzag Level Order Traversal](https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal)                                              , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/103.py)  
104, 104  , [Maximum Depth of Binary Tree](https://leetcode.com/problems/maximum-depth-of-binary-tree)                                                                      , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/104.py)  
105, 105  , [Construct Binary Tree from Preorder and Inorder Traversal](https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal)            , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/105.py)  
106, 106  , [Construct Binary Tree from Inorder and Postorder Traversal](https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal)          , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/106.py)  
107, 107  , [Binary Tree Level Order Traversal II](https://leetcode.com/problems/binary-tree-level-order-traversal-ii)                                                      , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/107.py)  
108, 108  , [Convert Sorted Array to Binary Search Tree](https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree)                                          , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/108.py)  
109, 109  , [Convert Sorted List to Binary Search Tree](https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree)                                            , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/109.py)  
110, 110  , [Balanced Binary Tree](https://leetcode.com/problems/balanced-binary-tree)                                                                                      , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/110.py)  
111, 111  , [Minimum Depth of Binary Tree](https://leetcode.com/problems/minimum-depth-of-binary-tree)                                                                      , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/111.py)  
112, 112  , [Path Sum](https://leetcode.com/problems/path-sum)                                                                                                              , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/112.py)  
113, 113  , [Path Sum II](https://leetcode.com/problems/path-sum-ii)                                                                                                        , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/113.py)  
114, 114  , [Flatten Binary Tree to Linked List](https://leetcode.com/problems/flatten-binary-tree-to-linked-list)                                                          , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/114.py)  
115, 115  , [Distinct Subsequences](https://leetcode.com/problems/distinct-subsequences)                                                                                    , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/115.py)  
116, 116  , [Populating Next Right Pointers in Each Node](https://leetcode.com/problems/populating-next-right-pointers-in-each-node)                                        , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/116.py)  
117, 117  , [Populating Next Right Pointers in Each Node II](https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii)                                  , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/117.py)  
118, 118  , [Pascal's Triangle](https://leetcode.com/problems/pascals-triangle)                                                                                             , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/118.py)  
119, 119  , [Pascal's Triangle II](https://leetcode.com/problems/pascals-triangle-ii)                                                                                       , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/119.py)  
120, 120  , [Triangle](https://leetcode.com/problems/triangle)                                                                                                              , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/120.py)  
121, 121  , [Best Time to Buy and Sell Stock](https://leetcode.com/problems/best-time-to-buy-and-sell-stock)                                                                , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/121.py)  
122, 122  , [Best Time to Buy and Sell Stock II](https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii)                                                          , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/122.py)  
123, 123  , [Best Time to Buy and Sell Stock III](https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii)                                                        , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/123.py)  
124, 124  , [Binary Tree Maximum Path Sum](https://leetcode.com/problems/binary-tree-maximum-path-sum)                                                                      , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/124.py)  
125, 125  , [Valid Palindrome](https://leetcode.com/problems/valid-palindrome)                                                                                              , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/125.py)  
126, 126  , [Word Ladder II](https://leetcode.com/problems/word-ladder-ii)                                                                                                  , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/126.py)  
127, 127  , [Word Ladder](https://leetcode.com/problems/word-ladder)                                                                                                        , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/127.py)  
128, 128  , [Longest Consecutive Sequence](https://leetcode.com/problems/longest-consecutive-sequence)                                                                      , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/128.py)  
129, 129  , [Sum Root to Leaf Numbers](https://leetcode.com/problems/sum-root-to-leaf-numbers)                                                                              , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/129.py)  
130, 130  , [Surrounded Regions](https://leetcode.com/problems/surrounded-regions)                                                                                          , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/130.py)  
131, 131  , [Palindrome Partitioning](https://leetcode.com/problems/palindrome-partitioning)                                                                                , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/131.py)  
132, 132  , [Palindrome Partitioning II](https://leetcode.com/problems/palindrome-partitioning-ii)                                                                          , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/132.py)  
133, 133  , [Clone Graph](https://leetcode.com/problems/clone-graph)                                                                                                        , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/133.py)  
134, 134  , [Gas Station](https://leetcode.com/problems/gas-station)                                                                                                        , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/134.py)  
135, 135  , [Candy](https://leetcode.com/problems/candy)                                                                                                                    , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/135.py)  
136, 136  , [Single Number](https://leetcode.com/problems/single-number)                                                                                                    , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/136.py)  
137, 137  , [Single Number II](https://leetcode.com/problems/single-number-ii)                                                                                              , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/137.py)  
138, 138  , [Copy List with Random Pointer](https://leetcode.com/problems/copy-list-with-random-pointer)                                                                    , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/138.py)  
139, 139  , [Word Break](https://leetcode.com/problems/word-break)                                                                                                          , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/139.py)  
140, 140  , [Word Break II](https://leetcode.com/problems/word-break-ii)                                                                                                    , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/140.py)  
141, 141  , [Linked List Cycle](https://leetcode.com/problems/linked-list-cycle)                                                                                            , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/141.py)  
142, 142  , [Linked List Cycle II](https://leetcode.com/problems/linked-list-cycle-ii)                                                                                      , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/142.py)  
143, 143  , [Reorder List](https://leetcode.com/problems/reorder-list)                                                                                                      , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/143.py)  
144, 144  , [Binary Tree Preorder Traversal](https://leetcode.com/problems/binary-tree-preorder-traversal)                                                                  , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/144.py)  
145, 145  , [Binary Tree Postorder Traversal](https://leetcode.com/problems/binary-tree-postorder-traversal)                                                                , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/145.py)  
146, 146  , [LRU Cache](https://leetcode.com/problems/lru-cache)                                                                                                            , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/146.py)  
147, 147  , [Insertion Sort List](https://leetcode.com/problems/insertion-sort-list)                                                                                        , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/147.py)  
148, 148  , [Sort List](https://leetcode.com/problems/sort-list)                                                                                                            , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/148.py)  
149, 149  , [Max Points on a Line](https://leetcode.com/problems/max-points-on-a-line)                                                                                      , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/149.py)  
150, 150  , [Evaluate Reverse Polish Notation](https://leetcode.com/problems/evaluate-reverse-polish-notation)                                                              , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/150.py)  
151, 151  , [Reverse Words in a String](https://leetcode.com/problems/reverse-words-in-a-string)                                                                            , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/151.py)  
152, 152  , [Maximum Product Subarray](https://leetcode.com/problems/maximum-product-subarray)                                                                              , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/152.py)  
153, 153  , [Find Minimum in Rotated Sorted Array](https://leetcode.com/problems/find-minimum-in-rotated-sorted-array)                                                      , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/153.py)  
154, 154  , [Find Minimum in Rotated Sorted Array II](https://leetcode.com/problems/find-minimum-in-rotated-sorted-array-ii)                                                , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/154.py)  
155, 155  , [Min Stack](https://leetcode.com/problems/min-stack)                                                                                                            , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/155.py)  
156, 156  , [Binary Tree Upside Down](https://leetcode.com/problems/binary-tree-upside-down)                                                                                , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/156.py)  
